Empregados - demissões - Novo Caged sem ajuste
AL;2706505;Passo de Camaragibe;6;4;3;2;0;2;1;2;8;2;2;6;
AL;2706604;Paulo Jacinto;0;1;1;0;0;0;7;3;0;2;0;0;
AL;2706703;Penedo;82;47;285;115;42;35;54;69;45;82;55;74;
AL;2706802;Piaçabuçu;2;3;6;1;0;3;3;0;3;8;2;2;
AL;2706901;Pilar;19;27;65;23;25;27;20;36;66;27;38;22;
AL;2707008;Pindoba;0;0;0;0;0;0;0;0;0;0;0;1;
AL;2707107;Piranhas;34;10;3;19;15;6;6;7;2;4;4;10;
AL;2707206;Poço das Trincheiras;0;1;1;0;0;0;2;0;0;1;3;2;
AL;2707305;Porto Calvo;125;4;5;9;6;9;23;40;57;102;45;80;
AL;2707404;Porto de Pedras;3;7;7;19;9;0;5;7;6;7;4;5;
AL;2707503;Porto Real do Colégio;1;4;4;2;2;2;2;1;2;1;0;2;
AL;2707602;Quebrangulo;1;1;1;0;0;1;0;0;1;0;1;0;
AL;2707701;Rio Largo;3130;1964;724;271;103;70;154;364;161;183;196;219;
AL;2707800;Roteiro;8;8;1;33;4;0;1;2;2;2;2;1;
AL;2707909;Santa Luzia do Norte;16;10;10;4;6;5;6;8;4;8;11;7;
AL;2708006;Santana do Ipanema;55;49;53;51;35;30;39;36;31;110;63;83;
AL;2708105;Santana do Mundaú;0;13;0;0;12;4;4;2;0;1;2;0;
AL;2708204;São Brás;0;0;0;0;0;0;0;0;0;0;0;0;
AL;2708303;São José da Laje;246;2758;224;22;31;44;51;253;170;114;90;105;
AL;2708402;São José da Tapera;7;10;11;15;11;5;15;9;7;37;14;15;
AL;2708501;São Luís do Quitunde;87;669;1489;22;24;28;17;31;91;112;102;168;
AL;2708600;São Miguel dos Campos;191;1453;640;330;156;168;123;100;128;175;180;148;
AL;2708709;São Miguel dos Milagres;15;8;8;21;12;8;6;3;7;5;8;12;
AL;2708808;São Sebastião;23;18;40;22;13;9;20;11;26;29;16;15;
AL;2708907;Satuba;24;20;15;8;12;4;5;9;6;14;12;2;
AL;2708956;Senador Rui Palmeira;1;2;1;0;1;0;0;1;0;0;1;1;
AL;2709004;Tanque d'Arca;2;0;0;0;0;0;0;1;1;0;0;0;
AL;2709103;Taquarana;3;6;5;0;1;8;1;4;5;4;4;3;
AL;2709152;Teotônio Vilela;353;239;70;52;69;55;55;48;126;54;86;54;
AL;2709202;Traipu;0;2;0;1;3;0;0;0;1;0;1;0;
AL;2709301;União dos Palmares;68;80;48;67;34;34;35;39;59;95;48;59;
AL;2709400;Viçosa;12;11;21;6;3;10;4;6;4;6;13;21;
AM;1300029;Alvarães;2;1;2;1;0;0;2;1;2;3;0;1;
AM;1300060;Amaturá;0;0;0;0;0;0;1;0;0;0;1;0;
AM;1300086;Anamã;0;0;0;0;0;0;0;1;0;0;0;1;
AM;1300102;Anori;0;1;0;0;0;0;1;1;0;0;2;3;
AM;1300144;Apuí;6;10;7;8;12;9;7;8;13;9;10;9;
AM;1300201;Atalaia do Norte;0;0;0;0;0;2;1;0;1;0;0;0;
AM;1300300;Autazes;18;15;11;8;16;7;4;13;6;7;12;19;
AM;1300409;Barcelos;0;2;1;4;2;5;1;5;4;6;4;5;
AM;1300508;Barreirinha;1;2;5;6;5;3;7;3;7;3;3;3;
AM;1300607;Benjamin Constant;2;5;11;0;3;1;1;4;1;1;2;8;
AM;1300631;Beruri;0;0;0;0;3;0;1;0;1;0;2;0;
AM;1300680;Boa Vista do Ramos;1;1;0;1;0;2;0;1;0;2;0;0;
AM;1300706;Boca do Acre;14;7;22;44;17;14;25;20;14;27;9;6;
AM;1300805;Borba;21;14;1;1;1;0;3;4;1;0;1;1;
AM;1300839;Caapiranga;0;0;0;0;0;0;0;0;1;0;0;0;
AM;1300904;Canutama;0;0;0;0;2;1;0;0;2;1;0;0;
AM;1301001;Carauari;3;4;19;2;1;3;0;1;1;1;2;0;
AM;1301100;Careiro;1;2;5;5;6;2;3;9;6;3;7;5;
AM;1301159;Careiro da Várzea;0;0;0;0;1;0;1;2;1;5;0;1;
AM;1301209;Coari;46;17;19;26;16;21;10;26;49;41;34;82;
AM;1301308;Codajás;1;2;0;0;1;3;0;3;4;3;12;4;
AM;1301407;Eirunepé;2;2;2;7;7;4;4;1;4;5;5;3;
AM;1301506;Envira;1;1;2;2;0;2;0;1;0;0;0;0;
AM;1301605;Fonte Boa;0;2;1;2;2;1;2;0;2;2;0;1;
AM;1301654;Guajará;1;0;1;0;1;0;0;0;1;14;0;2;
AM;1301704;Humaitá;55;98;73;61;78;45;65;74;134;119;64;129;
AM;1301803;Ipixuna;2;0;1;0;0;0;3;2;1;0;2;2;
AM;1301852;Iranduba;75;47;40;98;41;47;122;82;82;76;93;66;
AM;1301902;Itacoatiara;162;109;146;113;82;87;71;100;135;108;196;106;
AM;1301951;Itamarati;0;0;0;0;0;0;0;5;0;0;0;0;
AM;1302009;Itapiranga;0;0;3;1;1;0;1;7;4;7;8;15;
AM;1302108;Japurá;0;0;0;0;0;4;0;3;1;1;0;0;
AM;1302207;Juruá;1;2;2;1;3;4;0;1;5;5;0;2;
AM;1302306;Jutaí;2;1;0;2;1;1;1;1;1;1;2;0;
AM;1302405;Lábrea;1;3;9;7;4;26;0;5;4;2;3;4;
AM;1302504;Manacapuru;60;83;96;137;110;51;59;66;112;82;75;52;
AM;1302553;Manaquiri;2;4;2;2;0;3;0;2;0;0;1;0;
AM;1302603;Manaus;11091;9841;12834;13449;9624;7578;8547;7919;8914;9566;9233;11437;
AM;1302702;Manicoré;14;16;19;21;6;24;22;8;9;8;22;13;
AM;1302801;Maraã;0;1;0;1;0;2;0;0;0;0;1;2;
AM;1302900;Maués;24;5;23;20;35;9;12;9;15;31;19;11;
AM;1303007;Nhamundá;0;0;3;2;3;2;3;1;1;3;1;2;
AM;1303106;Nova Olinda do Norte;12;22;6;1;3;4;2;2;2;3;7;6;
AM;1303205;Novo Airão;3;4;10;0;13;3;3;8;3;8;4;4;
AM;1303304;Novo Aripuanã;1;3;3;0;1;0;3;2;4;4;1;3;
AM;1303403;Parintins;79;65;67;70;58;39;36;51;51;58;48;105;
AM;1303502;Pauini;1;0;0;0;0;2;0;1;0;0;0;0;
AM;1303536;Presidente Figueiredo;102;101;35;49;59;34;99;36;37;34;26;335;
AM;1303569;Rio Preto da Eva;23;11;11;31;15;9;17;14;19;22;21;16;
AM;1303601;Santa Isabel do Rio Negro;0;0;0;1;0;0;0;4;0;0;1;0;
AM;1303700;Santo Antônio do Içá;1;0;0;0;0;0;3;1;2;0;0;0;
AM;1303809;São Gabriel da Cachoeira;18;26;20;36;42;30;22;10;13;6;7;14;
AM;1303908;São Paulo de Olivença;1;1;3;1;1;0;5;14;11;2;3;6;
AM;1303957;São Sebastião do Uatumã;0;1;0;0;0;0;1;1;0;9;6;2;
AM;1304005;Silves;0;2;0;0;7;1;1;2;6;9;5;7;
AM;1304062;Tabatinga;44;35;43;28;30;18;24;23;20;19;22;45;
AM;1304104;Tapauá;0;0;0;1;1;1;0;1;0;0;0;0;
AM;1304203;Tefé;42;36;41;41;32;22;23;35;36;27;53;50;
AM;1304237;Tonantins;1;0;0;0;0;0;1;0;3;0;1;1;
AM;1304260;Uarini;1;2;3;0;0;0;1;2;1;1;0;1;
AM;1304302;Urucará;1;0;0;1;0;0;1;1;3;0;0;1;
AM;1304401;Urucurituba;4;0;0;0;0;0;1;2;1;0;0;0;
AP;1600055;Serra do Navio;2;3;0;0;0;0;1;0;0;0;6;2;
AP;1600105;Amapá;1;1;1;3;2;3;2;1;3;0;0;3;
AP;1600154;Pedra Branca do Amaparí;35;30;24;10;18;19;22;24;13;57;22;27;
AP;1600204;Calçoene;0;1;2;0;1;1;1;0;2;3;1;1;
AP;1600212;Cutias;3;2;0;4;2;3;2;0;0;0;0;0;
AP;1600238;Ferreira Gomes;0;5;5;2;1;6;4;1;3;3;2;1;
AP;1600253;Itaubal;0;0;0;0;0;0;0;0;0;0;0;0;
AP;1600279;Laranjal do Jari;19;11;14;21;14;8;12;11;8;9;8;14;
AP;1600303;Macapá;1487;1332;1278;1119;851;818;1325;1107;995;1013;892;1264;
AP;1600402;Mazagão;24;6;8;8;8;13;10;22;18;9;2;6;
AP;1600501;Oiapoque;6;4;7;5;6;2;7;5;10;10;1;3;
AP;1600535;Porto Grande;53;10;57;55;7;15;14;3;14;13;4;15;
AP;1600550;Pracuúba;0;0;1;0;0;0;0;1;0;1;0;0;
AP;1600600;Santana;169;152;192;111;95;105;195;182;171;115;86;164;
AP;1600709;Tartarugalzinho;20;1;20;0;0;5;3;3;4;1;3;21;
AP;1600808;Vitória do Jari;12;4;4;3;2;0;3;3;4;1;1;1;
BA;2900108;Abaíra;0;0;0;0;0;0;0;0;0;0;0;1;
BA;2900207;Abaré;9;5;6;5;8;6;8;5;5;4;8;11;
BA;2900306;Acajutiba;1;1;2;1;1;0;3;2;1;1;0;0;
BA;2900355;Adustina;4;3;1;0;1;0;5;0;1;2;0;4;
BA;2900405;Água Fria;4;7;8;4;5;2;4;1;6;3;3;4;
