municipio,participacao
Buriti dos Montes,0.00077
Cabeceiras do Piauí,0.00096
Cajazeiras do Piauí,0.00038
Cajueiro da Praia,0.00128
Caldeirão Grande do Piauí,0.00216
Campinas do Piauí,0.00064
Campo Alegre do Fidalgo,0.00057
Campo Grande do Piauí,0.00069
Campo Largo do Piauí,0.00063
Campo Maior,0.00783
Canavieira,0.00047
Canto do Buriti,0.00301
Capitão de Campos,0.00118
Capitão Gervásio Oliveira,0.00048
Caracol,0.00108
Caraúbas do Piauí,0.00064
Caridade do Piauí,0.00056
Castelo do Piauí,0.00225
Caxingó,0.00059
Cocal,0.00303
Cocal de Telha,0.00052
Cocal dos Alves,0.00063
Coivaras,0.00042
Colônia do Gurguéia,0.00078
Colônia do Piauí,0.00076
Conceição do Canindé,0.00067
Coronel José Dias,0.00045
Corrente,0.00755
Cristalândia do Piauí,0.00083
Cristino Castro,0.00135
Curimatá,0.00157
Currais,0.00454
Curralinhos,0.00044
Curral Novo do Piauí,0.00087
Demerval Lobão,0.00235
Dirceu Arcoverde,0.00075
Dom Expedito Lopes,0.00087
Domingos Mourão,0.00052
Dom Inocêncio,0.00182
Elesbão Veloso,0.00183
Eliseu Martins,0.00062
Esperantina,0.00507
Fartura do Piauí,0.00052
Flores do Piauí,0.00053
Floresta do Piauí,0.00028
Floriano,0.0163
Francinópolis,0.0005
Francisco Ayres,0.00052
Francisco Macedo,0.00036
Francisco Santos,0.00092
Fronteiras,0.00125
Geminiano,0.00066
Gilbués,0.00463
Guadalupe,0.00707
Guaribas,0.0005
Hugo Napoleão,0.00038
Ilha Grande,0.00133
Inhuma,0.00182
Ipiranga do Piauí,0.00091
Isaías Coelho,0.0009
Itainópolis,0.0012
Itaueira,0.00146
Jacobina do Piauí,0.00077
Jaicós,0.00213
Jardim do Mulato,0.00044
Jatobá do Piauí,0.00065
Jerumenha,0.0007
João Costa,0.00077
Joaquim Pires,0.00132
Joca Marques,0.00051
José de Freitas,0.00434
Juazeiro do Piauí,0.00062
Júlio Borges,0.0009
Jurema,0.00048
Lagoinha do Piauí,0.00045
Lagoa Alegre,0.00086
